_id,No OCORRENCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICIPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
1,49840274,2023-01-01T00:00:00,09:46:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,MARUIPE,AV MARUIPE,COMERCIO
2,49849503,2023-01-02T00:00:00,10:42:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,JABOUR,RUA MILTON DE CASTRO MATTOS,COMERCIO
3,49849695,2023-01-01T00:00:00,09:40:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,MARUIPE,AV MARUIPE,COMERCIO
4,49849716,2023-01-01T00:00:00,09:30:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,MARUIPE,AVENIDA MARUIPE,COMERCIO
5,49852309,2023-01-01T00:00:00,17:00:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,GLORIA,AV CARLOS LINDEMBERG,COMERCIO
6,49852945,2023-01-02T00:00:00,17:30:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SAO GABRIEL DA PALHA,CENTRO,AV GRACIANO NEVES,COMERCIO
7,49855346,2023-01-02T00:00:00,22:38:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,SAO DIOGO I,AV TERCEIRA AVENIDA,COMERCIO
8,49860360,2023-01-02T00:00:00,22:20:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,JARDIM LIMOEIRO,AV FLORIANOPOLIS,COMERCIO
9,49860702,2023-01-03T00:00:00,12:10:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,JAGUARE,CENTRO,AV 9 DE AGOSTO,COMERCIO
10,49860743,2023-01-03T00:00:00,23:59:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,CHACARA PARREIRAL,RUA RAIMUNDO CORREIA 32,COMERCIO
11,49878032,2023-01-05T00:00:00,10:37:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SAO MATEUS,CENTRO,RUA FLORIANO PEIXOTO,VIA PUBLICA
12,49880756,2023-01-05T00:00:00,09:50:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SAO MATEUS,CENTRO,RUA FLORIANO PEIXOTO,COMERCIO
13,49880861,2023-01-05T00:00:00,16:16:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,COLATINA,SAO SILVANO,AV SILVIO AVIDOS,VIA PUBLICA
14,49881259,2023-01-05T00:00:00,15:30:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,BELVEDERE,BR 1O1,RODOVIA FEDERAL
15,49884610,2023-01-06T00:00:00,03:31:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,BOM JESUS DO NORTE,ZONA RURAL,RODOVIA ES 484,VIA PUBLICA
16,49889421,2023-01-06T00:00:00,16:37:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,LINHARES,CENTRO,AV NICOLA BIANCARDI,COMERCIO
